宝贝ID,商家编码,行业类目,宝贝标题,宝贝链接,浏览量,访客数,销售额,成交宝贝数,交易笔数,转化率,入口数,出口数,跳失率,停留时间,收藏量,新增购物车人数,新增购物车宝贝件数,退款额,退货量,退款率,搜索UV,PC端类目UV,PC端收藏UV,PC端直通车UV,PC端淘宝客UV,浏览量（PC）,访客数（PC）,销售额（PC）,成交宝贝数（PC）,交易笔数（PC）,转化率（PC）,入口数（PC）,出口数（PC）,跳失率（PC）,停留时间（PC）,搜索UV（PC）,浏览量（手机）,访客数（手机）,销售额（手机）,成交宝贝数（手机）,交易笔数（手机）,转化率（手机）,入口数（手机）,出口数（手机）,跳失率（手机）,停留时间（手机）,搜索UV（手机）,访客数（老客）,销售额（老客）,成交宝贝数（老客）,交易笔数（老客）,转化率（老客）
5.41482E+11,AW431,女装/女士精品 -> 毛呢外套,毛呢外套女中长款2017秋冬大红色大翻领毛呢子大衣过膝加厚欧美风,http://item.taobao.com/item.htm?id=541481988820,69,57,0,0,0,0%,12,10,50%,55,3,0,0,0,0,0%,8,0,0,0,0,1,1,0,0,0,0%,0,0,0%,3,0,68,56,0,0,0,0%,12,10,50%,56,8,3,0,0,0,0%
5.41482E+11,AW441,女装/女士精品 -> 毛呢外套,羊毛大衣女冬季中长款黑白极简伞型黑白圈大衣羊毛呢子外套女韩国,http://item.taobao.com/item.htm?id=541482124336,210,169,0,0,0,0%,9,15,44.40%,92,6,0,0,0,0,0%,24,0,0,0,0,4,4,0,0,0,0%,0,1,0%,5,0,206,165,0,0,0,0%,9,14,44.40%,94,24,25,0,0,0,0%
5.41482E+11,AW436,女装/女士精品 -> 毛呢外套,仿貂绒大衣女冬中长款枣红色丝绒毛呢外套加厚呢子毛绒韩国茧型,http://item.taobao.com/item.htm?id=541482128522,13,12,0,0,0,0%,11,10,72.70%,0,0,0,0,0,0,0%,0,0,2,0,0,2,2,0,0,0,0%,1,2,100%,0,0,11,10,0,0,0,0%,10,8,70%,0,0,2,0,0,0,0%
5.41482E+11,AW420,女装/女士精品 -> 毛呢外套,毛呢大衣女2017年冬装新款千鸟格大衣中长款长袖宽松呢子大衣外套,http://item.taobao.com/item.htm?id=541482264157,25,23,0,0,0,0%,5,7,100%,40,2,0,0,0,0,0%,5,0,0,0,0,2,2,0,0,0,0%,2,2,100%,0,2,23,21,0,0,0,0%,3,5,100%,43,3,1,0,0,0,0%
5.41493E+11,AW435,女装/女士精品 -> 半身裙,2018秋冬新款A字裙鹿皮绒高腰包臀短裙子女高腰显瘦麂皮绒半身裙,http://item.taobao.com/item.htm?id=541493337421,42,35,0,0,0,0%,2,2,100%,46,2,0,0,0,0,0%,7,0,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,42,35,0,0,0,0%,2,2,100%,46,7,6,0,0,0,0%
5.41493E+11,AW425,女装/女士精品 -> 半身裙,2017年冬季不对称口袋呢子料A字半身裙女高腰黑色高端裙子韩版潮,http://item.taobao.com/item.htm?id=541493417285,87,79,0,0,0,0%,2,4,0%,35,0,0,0,0,0,0%,3,0,0,0,0,1,1,0,0,0,0%,0,0,0%,4,0,86,78,0,0,0,0%,2,4,0%,35,3,12,0,0,0,0%
5.41501E+11,AW442,女装/女士精品 -> 毛针织衫,重磅迷彩皮草女披肩拼接针织毛衫2017冬季新款款套头女装围脖短款,http://item.taobao.com/item.htm?id=541501174939,70,53,0,0,0,0%,8,10,50%,39,2,0,0,0,0,0%,9,0,0,0,0,3,3,0,0,0,0%,1,2,0%,4,1,67,50,0,0,0,0%,7,8,57.10%,40,8,11,0,0,0,0%
5.41502E+11,AW444,女装/女士精品 -> 棉衣/棉服,欧洲站藏青棉衣中长款棉服韩版外套棉袄潮超长过膝面冬装女面包服,http://item.taobao.com/item.htm?id=541501546496,78,57,0,0,0,0%,11,12,81.80%,48,5,0,0,0,0,0%,5,0,0,0,0,4,4,0,0,0,0%,0,1,0%,2,0,74,53,0,0,0,0%,11,11,81.80%,52,5,9,0,0,0,0%
5.41502E+11,AW453,女装/女士精品 -> 裤子 -> 打底裤,2017春秋新款黑色打底裤女弹簧线裤紧身裤子松紧裤弹力修身小脚裤,http://item.taobao.com/item.htm?id=541501558317,64,56,0,0,0,0%,5,8,100%,25,2,0,0,0,0,0%,6,0,0,0,0,2,2,0,0,0,0%,0,0,0%,3,0,62,54,0,0,0,0%,5,8,100%,25,6,3,0,0,0,0%
5.41502E+11,AW439,女装/女士精品 -> 卫衣/绒衫,2017秋冬新款羊羔毛卫衣女圆领灰色韩版宽松加绒套头衫长袖打底衫,http://item.taobao.com/item.htm?id=541501790861,59,48,0,0,0,0%,2,2,0%,78,4,0,0,0,0,0%,6,0,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,59,48,0,0,0,0%,2,2,0%,78,6,6,0,0,0,0%
